Instrumento,Plazo,Monto_Asignado,Tasa_Rendimiento
cetes28,SF43935,SF43937,SF43936
cetes91,SF43938,SF43940,SF43939
cetes182,SF43941,SF43943,SF43942
cetes364,SF43944,SF43946,SF43945
cetes728,SF349778,SF349780,SF349785
bonosM3,SF43882,SF43884,SF43883
bonosM5,SF43885,SF43887,SF43886
bonosM7,SF44945,SF44947,SF44946
bonosM10,SF44070,SF44072,SF44071
bonosM20,SF45383,SF45385,SF45384
bonosM30,SF60689,SF60690,SF60696
udibonos3,SF61593,SF61594,SF61592
udibonos5,SF43926,SF43928,SF43927
udibonos10,SF43923,SF43925,SF43924
udibonos20,SF46957,SF46959,SF46958
udibonos30,SF46960,SF46962,SF46961
